dex,name,type1,type2,area,how_obtained,source_url
610,Axew,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Lumberjack's workplace (Common); Cozy log handicrafts (Common),https://www.serebii.net/pokemonpokopia/pokedex/axew.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
611,Fraxure,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Lumberjack's workplace (Common); Cozy log handicrafts (Rare),https://www.serebii.net/pokemonpokopia/pokedex/fraxure.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
612,Haxorus,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Lumberjack's workplace (Rare); Cozy log handicrafts (Very Rare),https://www.serebii.net/pokemonpokopia/pokedex/haxorus.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
704,Goomy,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded flower bed (Common); Rain Dance site. Restrictions: Tree-shaded flower bed [weather: Rain]; Rain Dance site [weather: Rain],https://www.serebii.net/pokemonpokopia/pokedex/goomy.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
705,Sliggoo,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated tall grass (Common). Restrictions: Hydrated tall grass [weather: Rain],https://www.serebii.net/pokemonpokopia/pokedex/sliggoo.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
706,Goodra,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Very-berry space (Rare). Restrictions: Very-berry space [weather: Rain],https://www.serebii.net/pokemonpokopia/pokedex/goodra.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
845,Cramorant,Flying,Water,Palette Town; Cloud Island,Befriend by building habitat: Hydrated tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/cramorant.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
172,Pichu,Electric,,Withered Wastelands; Cloud Island,Befriend by building habitat: Picnic Set (Common),https://www.serebii.net/pokemonpokopia/pokedex/pichu.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
25,Pikachu,Electric,,Palette Town; Cloud Island,Befriend by building habitat: Picnic Set (Rare),https://www.serebii.net/pokemonpokopia/pokedex/pikachu.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
26,Raichu,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Nature's market (Common),https://www.serebii.net/pokemonpokopia/pokedex/raichu.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
41,Zubat,Poison,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded Yellow tall grass (Common); Park bench (Common). Restrictions: Tree-shaded Yellow tall grass [time: Night]; Park bench [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/zubat.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
42,Golbat,Poison,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded Yellow tall grass (Rare). Restrictions: Tree-shaded Yellow tall grass [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/golbat.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
169,Crobat,Poison,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated yellow tall grass (Very Rare); Trash disposal site (Rare). Restrictions: Elevated yellow tall grass [time: Night]; Trash disposal site [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/crobat.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
52,Meowth,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Resting spot (Common); Working the register (Common),https://www.serebii.net/pokemonpokopia/pokedex/meowth.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
53,Persian,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Evil organization HQ (Common),https://www.serebii.net/pokemonpokopia/pokedex/persian.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
54,Psyduck,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hot-spring shower (Common),https://www.serebii.net/pokemonpokopia/pokedex/psyduck.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
55,Golduck,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hot-spring shower (Rare),https://www.serebii.net/pokemonpokopia/pokedex/golduck.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
58,Growlithe,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Perpetual mess (Common); Resort meal prep (Common),https://www.serebii.net/pokemonpokopia/pokedex/growlithe.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
59,Arcanine,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Mini museum (Rare); Magma fishing spot (Common),https://www.serebii.net/pokemonpokopia/pokedex/arcanine.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
83,Farfetch'd,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: All packed up (Common),https://www.serebii.net/pokemonpokopia/pokedex/farfetch'd.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
88,Grimer,Poison,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Marsh fishing spot (Common),https://www.serebii.net/pokemonpokopia/pokedex/grimer.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
89,Muk,Poison,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Marsh fishing spot (Rare),https://www.serebii.net/pokemonpokopia/pokedex/muk.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
92,Gastly,Ghost,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Spooky study (Common). Restrictions: Spooky study [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/gastly.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
93,Haunter,Ghost,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Surprise in store (Common); Spooky study (Rare). Restrictions: Surprise in store [time: Night]; Spooky study [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/haunter.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
94,Gengar,Ghost,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Surprise in store (Rare). Restrictions: Surprise in store [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/gengar.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
100,Voltorb,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Park bench (Common); Playing pirate (Common),https://www.serebii.net/pokemonpokopia/pokedex/voltorb.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
101,Electrode,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Park bench (Very Rare); Playing pirate (Common),https://www.serebii.net/pokemonpokopia/pokedex/electrode.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
102,Exeggcute,Grass,Psychic,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tropical vibes (Common); Shaded beach (Common),https://www.serebii.net/pokemonpokopia/pokedex/exeggcute.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
103,Exeggutor,Grass,Psychic,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tropical vibes (Very Rare); Shaded beach (Rare),https://www.serebii.net/pokemonpokopia/pokedex/exeggutor.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
440,Happiny,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Alarm clock sleep zone (Common); Working the register (Common),https://www.serebii.net/pokemonpokopia/pokedex/happiny.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
113,Chansey,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Full recovery (Common),https://www.serebii.net/pokemonpokopia/pokedex/chansey.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
242,Blissey,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Cuteness overload (Rare),https://www.serebii.net/pokemonpokopia/pokedex/blissey.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
239,Elekid,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Vending machine set (Common),https://www.serebii.net/pokemonpokopia/pokedex/elekid.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
125,Electabuzz,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Trash can central (Rare); Light-up stage (Common),https://www.serebii.net/pokemonpokopia/pokedex/electabuzz.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
466,Electivire,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Light-up stage (Rare); Vending machine set (Rare),https://www.serebii.net/pokemonpokopia/pokedex/electivire.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
131,Lapras,Water,Ice,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tropical seaside (Common),https://www.serebii.net/pokemonpokopia/pokedex/lapras.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
446,Munchlax,Normal,,Palette Town; Cloud Island,Befriend by building habitat: Bed with a plush (Rare); Tree-shaded snoozing Snorlax (Common),https://www.serebii.net/pokemonpokopia/pokedex/munchlax.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
143,Snorlax,Normal,,Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded snoozing Snorlax (Common); Good old-fashioned antiques (Common),https://www.serebii.net/pokemonpokopia/pokedex/snorlax.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
167,Spinarak,Bug,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Yellow tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/spinarak.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
168,Ariados,Bug,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Yellow tall grass (Rare),https://www.serebii.net/pokemonpokopia/pokedex/ariados.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
179,Mareep,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Overgrowth vending machine (Rare); Knitting station (Common),https://www.serebii.net/pokemonpokopia/pokedex/mareep.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
180,Flaaffy,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Night festival venue (Common); Knitting station (Rare),https://www.serebii.net/pokemonpokopia/pokedex/flaaffy.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
181,Ampharos,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Plain life (Rare),https://www.serebii.net/pokemonpokopia/pokedex/ampharos.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
298,Azurill,Normal,Fairy,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated yellow tall grass (Common); Perpetual mess (Common),https://www.serebii.net/pokemonpokopia/pokedex/azurill.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
183,Marill,Water,Fairy,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated yellow tall grass (Rare); Dock (Common),https://www.serebii.net/pokemonpokopia/pokedex/marill.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
184,Azumarill,Water,Fairy,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Dock (Rare). Restrictions: Dock [weather: Rain],https://www.serebii.net/pokemonpokopia/pokedex/azumarill.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
194,Wooper (Paldean Form),Poison,Ground,Bleak Beach; Cloud Island,Befriend by building habitat: Marshy tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/paldeanwooper.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
980,Clodsire,Poison,Ground,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Marshy tall grass (Rare); Marsh fishing spot (Rare),https://www.serebii.net/pokemonpokopia/pokedex/clodsire.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
235,Smeargle (Smearguru),Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Story NPC (Smearguru); befriend by building habitat: Tiny Atelier (Common),https://www.serebii.net/pokemonpokopia/pokedex/smeargle.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
255,Torchic,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Chirp-chirp meal (Common); Resort meal prep (Common),https://www.serebii.net/pokemonpokopia/pokedex/torchic.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
256,Combusken,Fire,Fighting,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Resort meal prep (Rare); Furnace Spot (Common),https://www.serebii.net/pokemonpokopia/pokedex/combusken.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
257,Blaziken,Fire,Fighting,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Chirp-chirp meal (Very Rare); Furnace Spot (Rare),https://www.serebii.net/pokemonpokopia/pokedex/blaziken.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
278,Wingull,Water,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated yellow tall grass (Common); Windy Flower Bed (Common). Restrictions: Elevated yellow tall grass [time: Morning/Day/Evening]; Windy Flower Bed [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/wingull.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
279,Pelipper,Water,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated yellow tall grass (Rare); Windy Flower Bed (Rare). Restrictions: Elevated yellow tall grass [time: Morning/Day/Evening]; Windy Flower Bed [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/pelipper.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
296,Makuhita,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded Yellow tall grass (Common); All packed up (Common),https://www.serebii.net/pokemonpokopia/pokedex/makuhita.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
297,Hariyama,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded Yellow tall grass (Rare); All packed up (Rare),https://www.serebii.net/pokemonpokopia/pokedex/hariyama.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
359,Absol,Dark,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Welcoming resort (Common),https://www.serebii.net/pokemonpokopia/pokedex/absol.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
393,Piplup,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated yellow tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/piplup.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
394,Prinplup,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated yellow tall grass (Rare); Waterwheel Spot (Rare),https://www.serebii.net/pokemonpokopia/pokedex/prinplup.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
395,Empoleon,Water,Steel,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tableside delivery cart (Rare); Waterwheel Spot (Very Rare). Restrictions: Tableside delivery cart [weather: Rain]; Waterwheel Spot [weather: Rain],https://www.serebii.net/pokemonpokopia/pokedex/empoleon.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
531,Audino,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Working the register (Common),https://www.serebii.net/pokemonpokopia/pokedex/audino.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
568,Trubbish,Poison,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Trash collection site (Common),https://www.serebii.net/pokemonpokopia/pokedex/trubbish.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
569,Garbodor,Poison,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Trash collection site (Rare),https://www.serebii.net/pokemonpokopia/pokedex/garbodor.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
570,Zorua,Dark,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Breezy flower bed (Common),https://www.serebii.net/pokemonpokopia/pokedex/zorua.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
571,Zoroark,Dark,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Breezy flower bed (Rare); Surprise in store (Rare),https://www.serebii.net/pokemonpokopia/pokedex/zoroark.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
572,Minccino,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Changing area (Common); Private makeup stand (Common),https://www.serebii.net/pokemonpokopia/pokedex/minccino.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
573,Cinccino,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Private makeup stand (Rare),https://www.serebii.net/pokemonpokopia/pokedex/cinccino.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
736,Grubbin,Bug,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Yellow tall grass; Vending machine break area (Common),https://www.serebii.net/pokemonpokopia/pokedex/grubbin.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
737,Charjabug,Bug,Electric,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Vending machine break area (Rare),https://www.serebii.net/pokemonpokopia/pokedex/charjabug.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
