pokopia_dex,category,pokopia_no,national_dex,name,species,form,serebii_name,type1,type2,area,habitats,habitat_areas,habitat_rarity,habitat_time,habitat_weather,nl_habitat_requirements,nl_time,nl_weather,specialties,ideal_habitat,favorites,underwater,classification,how_obtained,source_url
Main #057,Main,57,415,Combee,Combee,,Combee,Bug,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Pretty flower bed,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,Pretty Flower Bed - Wildflowers x4,All day,All weather,Litter,Bright,"Lots of nature, Nice breezes, Wooden stuff, Gatherings, Group Activities, Sweet flavors",No,Tiny Bee Pokémon,Befriend by building habitat: Pretty flower bed (Common),https://www.serebii.net/pokemonpokopia/pokedex/combee.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #058,Main,58,416,Vespiquen,Vespiquen,,Vespiquen,Bug,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Field of Flowers,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,Field of Flowers - Wildflowers x8,All day,All weather,"Gather Honey, Search",Bright,"Lots of nature, Nice breezes, Wooden stuff, Gatherings, Complicated stuff, Sweet flavors",No,Beehive Pokémon,Befriend by building habitat: Field of Flowers (Common),https://www.serebii.net/pokemonpokopia/pokedex/vespiquen.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #059,Main,59,422,Shellos (West Sea),Shellos,West Sea,Shellos,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Road Sign,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Road Sign - Arrow Sign x1, Wooden Path x3",All day,All weather,Water,Humid,"Lots of water, Ocean vibes, Cleanliness, Colorful stuff, Containers, Sour flavors",Underwater capable,Sea Slug Pokémon,Befriend by building habitat: Road Sign (Common),https://www.serebii.net/pokemonpokopia/pokedex/shellos.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #060,Main,60,423,Gastrodon (West Sea),Gastrodon,West Sea,Gastrodon,Water,Ground,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Ocean fishing spot,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Ocean Fishing Spot - Fishing Rod x1, Seat (any) x1, Ocean Water x1",All day,All weather,"Water, Trade",Humid,"Lots of water, Lots of dirt, Ocean vibes, Cleanliness, Containers, Sour flavors",Underwater capable,Sea Slug Pokémon,Befriend by building habitat: Ocean fishing spot (Rare),https://www.serebii.net/pokemonpokopia/pokedex/gastrodon.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #061,Main,61,425,Drifloon,Drifloon,,Drifloon,Ghost,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Riding warm updrafts | Bed with a plush | Plush central,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain | Sun/Cloud/Rain,"Riding Warm Updrafts - Campfire x3 | Plush Central - Arcanine Doll x1, Pikachu Doll x1, Dragonite Doll x1, Eevee Doll x1 | Bed with a Plush - Bed (any) x1, Doll (any) x1",All day,All weather,Dream Island,Warm,"Spooky stuff, Strange stuff, Nice breezes, Cute stuff, Round stuff, Bitter flavors",No,Balloon Pokémon,Befriend by building habitat: Riding warm updrafts (Common); Bed with a plush (Common); Plush central (Common),https://www.serebii.net/pokemonpokopia/pokedex/drifloon.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #062,Main,62,426,Drifblim,Drifblim,,Drifblim,Ghost,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Plush central,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Plush Central - Arcanine Doll x1, Pikachu Doll x1, Dragonite Doll x1, Eevee Doll x1",All day,All weather,"Fly, Gather",Warm,"Spooky stuff, Strange stuff, Nice breezes, Wobbly stuff, Spinning stuff, Bitter flavors",No,Blimp Pokémon,Befriend by building habitat: Plush central (Common),https://www.serebii.net/pokemonpokopia/pokedex/drifblim.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #063,Main,63,529,Drilbur,Drilbur,,Drilbur,Ground,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Fresh Veggie Field,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,Fresh Veggie Field - Vegetable field (any) x8,All day,All weather,Search,Dark,"Lots of dirt, Stone stuff, Lots of nature, Watching stuff, Sharp stuff, Sour flavors",No,Mole Pokémon,Befriend by building habitat: Fresh Veggie Field (Common),https://www.serebii.net/pokemonpokopia/pokedex/drilbur.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #064,Main,64,530,Excadrill,Excadrill,,Excadrill,Ground,Steel,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Fresh Veggie Field,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare,Morning/Day/Evening/Night,Sun/Cloud/Rain,Fresh Veggie Field - Vegetable field (any) x8,All day,All weather,"Search, Chop",Dark,"Lots of dirt, Metal stuff, Exercise, Watching stuff, Sharp stuff, Sour flavors",No,Subterrene Pokémon,Befriend by building habitat: Fresh Veggie Field (Rare),https://www.serebii.net/pokemonpokopia/pokedex/excadrill.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #065,Main,65,532,Timburr,Timburr,,Timburr,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Boulder-shaded Tall Grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Boulder-shaded tall grass - Tall Grass x4, Large Boulder x1",All day,All weather,Build,Bright,"Exercise, Construction, Wooden stuff, Slender objects, Blocky stuff, Spicy flavors",No,Muscular Pokémon,Befriend by building habitat: Boulder-shaded Tall Grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/timburr.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #066,Main,66,533,Gurdurr,Gurdurr,,Gurdurr,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Boulder-shaded Tall Grass | Large luggage carrier,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Large Luggage Carrier - Cart x1, Wooden Crate x2 | Boulder-shaded tall grass - Tall Grass x4, Large Boulder x1",All day,All weather,Build,Bright,"Exercise, Construction, Metal stuff, Slender objects, Group Activities, Spicy flavors",No,Muscular Pokémon,Befriend by building habitat: Boulder-shaded Tall Grass (Rare); Large luggage carrier (Common),https://www.serebii.net/pokemonpokopia/pokedex/gurdurr.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #067,Main,67,534,Conkeldurr,Conkeldurr,,Conkeldurr,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Construction-site generator,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Construction Site Generator - Furnace x1, Iron Scaffold x2, Iron Pipes x1",All day,All weather,"Build, Crush",Bright,"Exercise, Construction, Stone stuff, Slender objects, Group Activities, Spicy flavors",No,Muscular Pokémon,Befriend by building habitat: Construction-site generator (Common),https://www.serebii.net/pokemonpokopia/pokedex/conkeldurr.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #068,Main,68,607,Litwick,Litwick,,Litwick,Ghost,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Grave offering | Creepy grave offering,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Creepy Grave Offering - Eerie Candle x2, Gravestone x1, Plated Food x1 | Grave Offering - Slender Candle x2, Gravestone x1, Plated Food x1",All day,All weather,Burn,Warm,"Spooky stuff, Strange stuff, Lots of fire, Wobbly stuff, Blocky stuff, Bitter flavors",No,Candle Pokémon,Befriend by building habitat: Grave offering (Common); Creepy grave offering (Common),https://www.serebii.net/pokemonpokopia/pokedex/litwick.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #069,Main,69,608,Lampent,Lampent,,Lampent,Ghost,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Grave offering | Creepy grave offering,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Creepy Grave Offering - Eerie Candle x2, Gravestone x1, Plated Food x1 | Grave Offering - Slender Candle x2, Gravestone x1, Plated Food x1",All day,All weather,Burn,Warm,"Spooky stuff, Strange stuff, Lots of fire, Wobbly stuff, Containers, Bitter flavors",No,Lamp Pokémon,Befriend by building habitat: Grave offering (Rare); Creepy grave offering (Common),https://www.serebii.net/pokemonpokopia/pokedex/lampent.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #070,Main,70,609,Chandelure,Chandelure,,Chandelure,Ghost,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Creepy grave offering,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Creepy Grave Offering - Eerie Candle x2, Gravestone x1, Plated Food x1",All day,All weather,Burn,Warm,"Spooky stuff, Strange stuff, Lots of fire, Wobbly stuff, Watching stuff, Dry flavors",No,Luring Pokémon,Befriend by building habitat: Creepy grave offering (Rare),https://www.serebii.net/pokemonpokopia/pokedex/chandelure.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #071,Main,71,610,Axew,Axew,,Axew,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Lumberjack's workplace | Cozy log handicrafts,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Lumberjack's Workplace - Log Chair x1, Cart x1, Tree Stump (any) x1, Log Table x1 | Cozy Log Handicrafts - Log Chair x1, Log Table x1, Log Bed x1",All day,All weather,Chop,Dark,"Lots of fire, Luxury, Lots of dirt, Hard stuff, Sharp stuff, Sweet flavors",No,Tusk Pokémon,Befriend by building habitat: Lumberjack's workplace (Common); Cozy log handicrafts (Common),https://www.serebii.net/pokemonpokopia/pokedex/axew.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #072,Main,72,611,Fraxure,Fraxure,,Fraxure,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Lumberjack's workplace | Cozy log handicrafts,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Lumberjack's Workplace - Log Chair x1, Cart x1, Tree Stump (any) x1, Log Table x1 | Cozy Log Handicrafts - Log Chair x1, Log Table x1, Log Bed x1",All day,All weather,Chop,Dark,"Lots of fire, Luxury, Lots of dirt, Exercise, Sharp stuff, Spicy flavors",No,Axe Jaw Pokémon,Befriend by building habitat: Lumberjack's workplace (Common); Cozy log handicrafts (Rare),https://www.serebii.net/pokemonpokopia/pokedex/fraxure.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #073,Main,73,612,Haxorus,Haxorus,,Haxorus,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Lumberjack's workplace | Cozy log handicrafts,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Very Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Lumberjack's Workplace - Log Chair x1, Cart x1, Tree Stump (any) x1, Log Table x1 | Cozy Log Handicrafts - Log Chair x1, Log Table x1, Log Bed x1",,,"Chop, Litter",Dark,"Lots of fire, Luxury, Lots of dirt, Exercise, Sharp stuff, Sour flavors",No,Axe Jaw Pokémon,Befriend by building habitat: Lumberjack's workplace (Rare); Cozy log handicrafts (Very Rare),https://www.serebii.net/pokemonpokopia/pokedex/haxorus.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #074,Main,74,704,Goomy,Goomy,,Goomy,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tree-shaded flower bed | Rain Dance site,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | ,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Rain | Rain,"Rain Dance Site - Castform Weather Charm (rain) x2, Plated Food x1 | Tree-shaded flower bed - Berry Tree (any) x1, Wildflowers x4",All day,Rain,Water,Humid,"Lots of water, Luxury, Lots of nature, Cleanliness, Healing, Sweet flavors",No,Soft Tissue Pokémon,Befriend by building habitat: Tree-shaded flower bed (Common); Rain Dance site. Restrictions: Tree-shaded flower bed [weather: Rain]; Rain Dance site [weather: Rain],https://www.serebii.net/pokemonpokopia/pokedex/goomy.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #075,Main,75,705,Sliggoo,Sliggoo,,Sliggoo,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Hydrated tall grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Rain,"Hydrated Tall Grass - Tall Grass x4, Water x2",All day,Rain,Water,Humid,"Lots of water, Luxury, Soft stuff, Cleanliness, Healing, Sweet flavors",No,Soft Tissue Pokémon,Befriend by building habitat: Hydrated tall grass (Common). Restrictions: Hydrated tall grass [weather: Rain],https://www.serebii.net/pokemonpokopia/pokedex/sliggoo.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #076,Main,76,706,Goodra,Goodra,,Goodra,Dragon,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Very-berry space,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare,Morning/Day/Evening/Night,Rain,"Very-berry Space - Berry Chair x1, Berry Bed x1, Berry Table x1, Berry Table Lamp x1",All day,Rain,"Water, Trade",Humid,"Lots of water, Luxury, Exercise, Cleanliness, Healing, Sour flavors",No,Dragon Pokémon,Befriend by building habitat: Very-berry space (Rare). Restrictions: Very-berry space [weather: Rain],https://www.serebii.net/pokemonpokopia/pokedex/goodra.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #077,Main,77,845,Cramorant,Cramorant,,Cramorant,Flying,Water,Palette Town; Cloud Island,Hydrated tall grass,"Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Hydrated Tall Grass - Tall Grass x4, Water x2 (Palette Town Only)",All day,All weather,"Fly, Water",Humid,"Nice breezes, Lots of water, Ocean vibes, Slender objects, Looks like food, Bitter flavors",Underwater capable,Gulp Pokémon,Befriend by building habitat: Hydrated tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/cramorant.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #078,Main,78,172,Pichu,Pichu,,Pichu,Electric,,Withered Wastelands; Cloud Island,Picnic Set,"Withered Wastelands, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Picnic Set - Seat (any) x2, Table (any) x1, Picnic Basket x1",All day,All weather,Generate,Bright,"Electronics, Glass stuff, Cute stuff, Pretty flowers, Fabric, Sweet flavors",No,Tiny Mouse Pokémon,Befriend by building habitat: Picnic Set (Common),https://www.serebii.net/pokemonpokopia/pokedex/pichu.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #079,Main,79,25,Pikachu,Pikachu,,Pikachu,Electric,,Palette Town; Cloud Island,Picnic Set,"Palette Town, Cloud Island",Rare,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Picnic Set - Seat (any) x2, Table (any) x1, Picnic Basket x1 (Palette Town Only)",All day,All weather,Generate,Bright,"Electronics, Glass stuff, Group Activities, Round stuff, Rides, Sour flavors",No,Mouse Pokémon,Befriend by building habitat: Picnic Set (Rare),https://www.serebii.net/pokemonpokopia/pokedex/pikachu.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #080,Main,80,26,Raichu,Raichu,,Raichu,Electric,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Nature's market,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Nature's Market - Large Tree (any) x1, Large Boulder x1, Table (any) x2, Cash Register x1",All day,All weather,"Generate, Hype",Bright,"Electronics, Glass stuff, Group Activities, Round stuff, Play spaces, Sour flavors",No,Mouse Pokémon,Befriend by building habitat: Nature's market (Common),https://www.serebii.net/pokemonpokopia/pokedex/raichu.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #081,Main,81,41,Zubat,Zubat,,Zubat,Poison,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tree-shaded Yellow tall grass | Park bench,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Night | Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Tree-Shaded Yellow Tall Grass - Large Tree (any) x1, Yellow Tall Grass x4 | Park Bench - Seat (wide) x1, Garbage Bin x1",Nighttime,All weather,Search,Dark,"Spooky stuff, Nice breezes, Wooden stuff, Noisy stuff, Complicated stuff, Spicy flavors",No,Bat Pokémon,Befriend by building habitat: Tree-shaded Yellow tall grass (Common); Park bench (Common). Restrictions: Tree-shaded Yellow tall grass [time: Night]; Park bench [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/zubat.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #082,Main,82,42,Golbat,Golbat,,Golbat,Poison,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tree-shaded Yellow tall grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare,Night,Sun/Cloud/Rain,"Tree-Shaded Yellow Tall Grass - Large Tree (any) x1, Yellow Tall Grass x4",Nighttime,All weather,Search,Dark,"Spooky stuff, Nice breezes, Wooden stuff, Noisy stuff, Complicated stuff, Spicy flavors",No,Bat Pokémon,Befriend by building habitat: Tree-shaded Yellow tall grass (Rare). Restrictions: Tree-shaded Yellow tall grass [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/golbat.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #083,Main,83,169,Crobat,Crobat,,Crobat,Poison,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Elevated yellow tall grass | Trash disposal site,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Very Rare | Rare,Night | Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Trash Disposal Site - Utility Pole x1, Garbage Bags x1 | Elevated Yellow Tall Grass - Yellow Tall Grass x4, High-up Location",Nighttime,All weather,"Search, Chop",Dark,"Spooky stuff, Nice breezes, Wooden stuff, Garbage, Watching stuff, Dry flavors",No,Bat Pokémon,Befriend by building habitat: Elevated yellow tall grass (Very Rare); Trash disposal site (Rare). Restrictions: Elevated yellow tall grass [time: Night]; Trash disposal site [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/crobat.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #084,Main,84,52,Meowth,Meowth,,Meowth,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Resting spot | Working the register,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Working the Register - Table (any) x2, Cash Register x1 | Resting Spot - Cardboard Boxes x1, Straw Bed x1",All day,All weather,Trade,Cool,"Containers, Group Activities, Shiny stuff, Glass stuff, Luxury, Spicy flavors",No,Scratch Cat Pokémon,Befriend by building habitat: Resting spot (Common); Working the register (Common),https://www.serebii.net/pokemonpokopia/pokedex/meowth.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #085,Main,85,53,Persian,Persian,,Persian,Normal,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Evil organization HQ,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Evil Organization HQ - Potted Plant (any) x2, Team Rocket Wall Hanging x1, Luxury Sofa x1",All day,All weather,"Trade, Search",Cool,"Containers, Group Activities, Shiny stuff, Watching stuff, Luxury, Sour flavors",No,Classy Cat Pokémon,Befriend by building habitat: Evil organization HQ (Common),https://www.serebii.net/pokemonpokopia/pokedex/persian.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
